Date,Id,Nominal,Value,VunitRate
30.06.2020,R01035,1,"86,3619","86,3619"
01.07.2020,R01035,1,"86,5724","86,5724"
02.07.2020,R01035,1,"87,3965","87,3965"
03.07.2020,R01035,1,"88,2485","88,2485"
04.07.2020,R01035,1,"87,8711","87,8711"
07.07.2020,R01035,1,"89,0905","89,0905"
08.07.2020,R01035,1,"90,0272","90,0272"
09.07.2020,R01035,1,"89,3679","89,3679"
10.07.2020,R01035,1,"89,5994","89,5994"
11.07.2020,R01035,1,"89,6712","89,6712"
14.07.2020,R01035,1,"89,1990","89,199"
15.07.2020,R01035,1,"88,9805","88,9805"
16.07.2020,R01035,1,"89,3493","89,3493"
17.07.2020,R01035,1,"89,3522","89,3522"
18.07.2020,R01035,1,"89,9507","89,9507"
21.07.2020,R01035,1,"90,5292","90,5292"
22.07.2020,R01035,1,"90,0427","90,0427"
23.07.2020,R01035,1,"89,5611","89,5611"
24.07.2020,R01035,1,"90,2224","90,2224"
25.07.2020,R01035,1,"91,1864","91,1864"
28.07.2020,R01035,1,"91,8793","91,8793"
29.07.2020,R01035,1,"92,4526","92,4526"
30.07.2020,R01035,1,"93,6307","93,6307"
31.07.2020,R01035,1,"95,2329","95,2329"
01.08.2020,R01035,1,"96,3277","96,3277"
04.08.2020,R01035,1,"97,1107","97,1107"
05.08.2020,R01035,1,"95,8130","95,813"
06.08.2020,R01035,1,"95,6971","95,6971"
07.08.2020,R01035,1,"96,1714","96,1714"
08.08.2020,R01035,1,"96,4211","96,4211"
11.08.2020,R01035,1,"96,3280","96,328"
12.08.2020,R01035,1,"95,7270","95,727"
13.08.2020,R01035,1,"95,6743","95,6743"
14.08.2020,R01035,1,"96,2481","96,2481"
15.08.2020,R01035,1,"95,6710","95,671"
18.08.2020,R01035,1,"95,4635","95,4635"
19.08.2020,R01035,1,"96,6073","96,6073"
20.08.2020,R01035,1,"97,0346","97,0346"
21.08.2020,R01035,1,"96,4631","96,4631"
22.08.2020,R01035,1,"97,7822","97,7822"
25.08.2020,R01035,1,"97,3765","97,3765"
26.08.2020,R01035,1,"97,5146","97,5146"
27.08.2020,R01035,1,"99,3323","99,3323"
28.08.2020,R01035,1,"99,4236","99,4236"
29.08.2020,R01035,1,"99,0971","99,0971"
01.09.2020,R01035,1,"98,1813","98,1813"
02.09.2020,R01035,1,"98,8098","98,8098"
03.09.2020,R01035,1,"98,5793","98,5793"
04.09.2020,R01035,1,"100,3347","100,3347"
05.09.2020,R01035,1,"99,9398","99,9398"
08.09.2020,R01035,1,"99,9615","99,9615"
09.09.2020,R01035,1,"99,7034","99,7034"
10.09.2020,R01035,1,"98,5504","98,5504"
11.09.2020,R01035,1,"98,2611","98,2611"
12.09.2020,R01035,1,"96,0534","96,0534"
15.09.2020,R01035,1,"96,0160","96,016"
16.09.2020,R01035,1,"96,9705","96,9705"
17.09.2020,R01035,1,"96,6644","96,6644"
18.09.2020,R01035,1,"97,3839","97,3839"
19.09.2020,R01035,1,"97,4439","97,4439"
22.09.2020,R01035,1,"97,7850","97,785"
23.09.2020,R01035,1,"97,7719","97,7719"
24.09.2020,R01035,1,"96,8022","96,8022"
25.09.2020,R01035,1,"98,2244","98,2244"
26.09.2020,R01035,1,"98,0908","98,0908"
29.09.2020,R01035,1,"100,7701","100,7701"
30.09.2020,R01035,1,"102,6097","102,6097"
01.10.2020,R01035,1,"101,0729","101,0729"
02.10.2020,R01035,1,"99,4792","99,4792"
03.10.2020,R01035,1,"101,0114","101,0114"
06.10.2020,R01035,1,"101,1603","101,1603"
07.10.2020,R01035,1,"101,8142","101,8142"
08.10.2020,R01035,1,"100,8716","100,8716"
09.10.2020,R01035,1,"101,0255","101,0255"
10.10.2020,R01035,1,"99,7056","99,7056"
13.10.2020,R01035,1,"100,3621","100,3621"
14.10.2020,R01035,1,"100,7416","100,7416"
15.10.2020,R01035,1,"99,6859","99,6859"
16.10.2020,R01035,1,"101,1584","101,1584"
17.10.2020,R01035,1,"100,8625","100,8625"
20.10.2020,R01035,1,"101,2234","101,2234"
21.10.2020,R01035,1,"100,6836","100,6836"
22.10.2020,R01035,1,"100,5116","100,5116"
23.10.2020,R01035,1,"101,2226","101,2226"
24.10.2020,R01035,1,"100,1943","100,1943"
27.10.2020,R01035,1,"99,5228","99,5228"
28.10.2020,R01035,1,"99,4458","99,4458"
29.10.2020,R01035,1,"100,8796","100,8796"
30.10.2020,R01035,1,"102,4678","102,4678"
31.10.2020,R01035,1,"102,5449","102,5449"
03.11.2020,R01035,1,"103,7080","103,708"
04.11.2020,R01035,1,"103,7208","103,7208"
06.11.2020,R01035,1,"102,1417","102,1417"
07.11.2020,R01035,1,"101,4630","101,463"
10.11.2020,R01035,1,"101,2605","101,2605"
11.11.2020,R01035,1,"100,9597","100,9597"
12.11.2020,R01035,1,"101,1959","101,1959"
13.11.2020,R01035,1,"101,6682","101,6682"
14.11.2020,R01035,1,"101,7535","101,7535"
17.11.2020,R01035,1,"101,6955","101,6955"
18.11.2020,R01035,1,"100,7455","100,7455"
19.11.2020,R01035,1,"100,9143","100,9143"
20.11.2020,R01035,1,"100,7507","100,7507"
21.11.2020,R01035,1,"100,8071","100,8071"
24.11.2020,R01035,1,"101,1472","101,1472"
25.11.2020,R01035,1,"101,3869","101,3869"
26.11.2020,R01035,1,"100,8315","100,8315"
